0,0,0
0.125,0,0
0.25,0,0
0.375,0,0
0.5,0,0
0.625,0,0
0.75,0,0
0.875,0,0
1,0,0
1.125,0,0
1.25,0,0
1.375,0,0
1.5,4.557292e-07,1.722494e-07
1.625,1.86849e-05,1.102924e-06
1.75,0.0002345703,3.907419e-06
1.875,0.001887044,1.107351e-05
2,0.009496419,2.474642e-05
2.125,0.03273945,4.540585e-05
2.25,0.08406348,7.080122e-05
2.375,0.1700436,9.585443e-05
2.5,0.2864429,0.0001153554
2.625,0.4185429,0.0001258732
2.75,0.5500318,0.0001269373
2.875,0.6666549,0.0001202824
3,0.7629944,0.0001085037
3.125,0.8367786,9.429708e-05
3.25,0.8909037,7.954718e-05
3.375,0.9286799,6.566641e-05
3.5,0.9544381,5.320828e-05
3.625,0.9714582,4.24871e-05
3.75,0.9823447,3.360271e-05
3.875,0.9893789,2.615594e-05
4,0.9936534,2.026249e-05
