#k = 0.5
0,0.5,0
0.25,0.455557,1.46972e-06
0.5,0.41125,2.02818e-06
0.75,0.367213,2.42004e-06
1,0.323602,2.71698e-06
1.5,0.23847,3.10111e-06
2,0.159261,3.16176e-06
2.5,0.092878,2.80866e-06
3,0.0458946,2.13268e-06
3.5,0.0188808,1.38932e-06
4,0.00642513,7.90679e-07
4.5,0.00180688,4.01325e-07
5,0.000422179,1.85071e-07
5,0.000421986,1.84947e-07
5.5,8.21895e-05,7.81237e-08
6,1.34142e-05,3.04155e-08
6.5,1.84982e-06,1.09485e-08
7,2.20133e-07,3.70355e-09
7.5,2.07011e-08,1.08016e-09
8,1.72933e-09,3.13538e-10
8.5,1.01725e-10,7.19306e-11
9,5.08626e-11,5.08626e-11
10,0,0
