1,44.8048,0.016021,43.5715,0.00628905
2,44.8095,0.0160329,41.8969,0.0104747
3,44.8046,0.0160169,43.8209,0.0117034
4,44.7969,0.0160094,43.7578,0.0126754
5,44.8314,0.0160609,43.9045,0.0132014
10,44.8326,0.0160311,44.6727,0.0144837
15,44.8315,0.016027,44.045,0.0150113
20,44.83,0.0160437,44.806,0.015225
25,44.8393,0.0160436,44.3606,0.0154153
30,44.8175,0.0160256,44.7809,0.0154803
35,44.8034,0.0160178,44.6122,0.0155693
40,44.8317,0.0160415,44.7596,0.0156443
45,44.8236,0.0160504,44.7274,0.0156748
50,44.8283,0.0160443,44.7025,0.0156953
55,44.8201,0.0160429,44.7847,0.0157307
60,44.8379,0.0160518,44.6842,0.0157571
65,44.8199,0.0160353,44.8043,0.0157623
70,44.8282,0.016057,44.6373,0.0157956
75,44.8103,0.0160446,44.803,0.0158086
80,44.8126,0.0160477,44.6232,0.0158329
85,44.8297,0.0160565,44.8196,0.0158392
90,44.8377,0.0160388,44.6993,0.0158541
95,44.7978,0.0160179,44.8018,0.0158505
100,44.7985,0.0160246,44.7267,0.0158678
105,44.8144,0.0160367,44.808,0.0158744
110,44.8101,0.0160461,44.7575,0.0158855
115,44.8189,0.0160445,44.8011,0.0158859
120,44.8061,0.016028,44.7854,0.0159086
125,44.808,0.0160328,44.7674,0.0158948
130,44.796,0.0160356,44.779,0.0159121
135,44.8058,0.0160373,44.7657,0.015911
140,44.8088,0.0160478,44.8028,0.0159301
