20,44.8162,0.0160279,44.7827,0.0152131
25,44.8195,0.0160348,44.3101,0.0153928
30,44.8184,0.0160401,44.7446,0.0154837
35,44.8236,0.0160443,44.6044,0.0155728
40,44.8204,0.0160496,44.7297,0.0156302
45,44.8197,0.0160465,44.7018,0.0156615
50,44.8162,0.0160427,44.6815,0.0156948
55,44.8186,0.0160429,44.762,0.0157337
60,44.8387,0.0160619,44.6839,0.0157688
65,44.8284,0.0160491,44.7995,0.0157814
70,44.8276,0.0160476,44.6477,0.0158063
75,44.8238,0.0160519,44.7969,0.0158016
75,44.7836,0.0160176,44.7857,0.0157961
80,44.7894,0.0160232,44.608,0.0158278
85,44.7954,0.0160178,44.7831,0.0158224
90,44.808,0.0160395,44.649,0.0158428
95,44.7848,0.0160101,44.7816,0.0158647
100,44.8047,0.0160414,44.7014,0.0158587
105,44.8008,0.0160347,44.7873,0.0158932
110,44.7869,0.0160126,44.7294,0.0158851
115,44.7717,0.0160195,44.7575,0.0158803
120,44.7955,0.0160205,44.7659,0.0159153
125,44.8006,0.0160317,44.7503,0.0158965
130,44.7914,0.016026,44.7546,0.0159119
135,44.7979,0.0160293,44.7528,0.0159141
140,44.7977,0.016029,44.7842,0.0159274
145,44.8028,0.0160389,44.7448,0.0159281
150,44.7826,0.0160258,44.7735,0.0159149
155,44.7908,0.0160356,44.7286,0.0159361
